Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Zubamon 	20A	Re-85 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Weapon	Vaccine	ME	A	500	230	160	Cannot receive the effects of 'Dark Tower'. (S)Add 500 to the attack power of your Tyranomon. (O)Has the ability "charge". (O)Add 250 to your attack power until the end of the turn during which this Digimon turned face-up. 	III20 IV10 P10 U10
Zubaeagermon 	20A	Re-86 	Zubamon + OOO	IV	Blue		Weapon	Vaccine	ME	A	610	360	260	Cannot receive the effects of 'Dark Tower'. (S) Add 500 to the attack power of your Metal Tyranomon. Add 400 to your attack power until the end of the turn during which you evolved into this Digimon. (O)Has the ability "charge". 	III20 IV20 P10 U10
Duramon 	20A	Re-87 	Zubaeagermon + Winning Percentage: 60%!	Perfect	Blue		Weapon	Vaccine	ME	A	710	490	370	A cannot go to zero. Add 800 to your attack power until the end of the turn during which you evolved into this Digimon. (O)Has the ability "charge". 	III30 IV20 P10 U10
Durandamon 	20A	Re-88 	Duramon + Winning Percentage: 80%!	Ultimate	Blue		Weapon	Vaccine	ME	A	880	600	500	A cannot go to zero. Cannot receive the effects of 'Elaborate Tactics!'. (O)Has the ability "charge". (O)During battle, you may send 10 or more cards from the top of your Net Ocean to the Dark Area and quintuple your attack power. 	III30 IV30 P20 U10
Omegamon Zwart (1)	20A	Re-89 	War Greymon + Fuse Into the Ultimate Digimon! / Metal Garurumon + Fuse Into the Ultimate Digimon! (O)At the end of the turn after the turn during which this card was fused, send this card to the Dark Area.	Ultimate	Blue		Holy Knight 	Vaccine	VB	B	940	940	670	The fusion requirements cannot be ignored. Cannot lose its special abilities. (O)Has the abilities "marksmanship", "fencing", and "sky". (O)Cannot receive the effects of the opponent's Option cards. (O)When you win the battle, further reduce the opponent's points by 20. 	III40 IV30 P20 U10
Ofanimon Falldown Mode 	20A	Re-90 	When your Digimon is Tailmon, show the opponent a 'Yagami Hikari' card from your hand and make this card appear from your hand (only during battle).	Ultimate	Blue		Ophan 	Vaccine	DA	C	820	630	540	Cannot lose its special abilities. (O)Double the lost points of the opponent's Perfect and Ultimate level Digimon.	III40 IV30 P20 U10
Mastemon 	20A	Re-91 	At the start of the battle, send 1 Angel type and Ultimate level Digimon and 1 Fallen Angel type and Ultimate level Digimon to the Dark Area, and make this card appear from your hand. 	Ultimate	Blue		Angel 	Vaccine	UK	C	800	800	640	A cannot go to zero. (O)The opponent loses its special abilities. (O)During battle, the opponent's attacks A, B, and C go to zero. 	III40 IV30 P30 U20
Shoutmon 	20A	Re-92 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue	Digimon King	Small Dragon 	Unknown	Nsp	A	460	320	280	(S) Add the ability 'Send the opponent's 'Dark Tower' to the Dark Area' to your Level III or Level IV Digimon. (O)Has the ability "ardor".	III20 IV10 P10 U10
Shine Greymon Burst Mode 	20A	Re-93 	When your Digimon is Shine Greymon and the opponent has an attack power of 700 and above, make this card appear from your hand (only during battle). 	Ultimate	Blue		Light Dragon 	Vaccine	Nsp	B	860	700	520	Cannot lose its special abilities. (O)Has the abilities "sky" and "fencing". (O)When facing a blue frame Ultimate level Digimon, triple your attack power.	III40 IV30 P30 U20
Mirage Gaogamon Burst Mode 	20A	Re-94 	During battle, compare the attack power of the Shine Greymon Burst Mode in your Digimon box with the opponent Digimon; make this card appear only if Shine Greymon Burst Mode has the lower attack power. 	Ultimate	Blue		Beast Knight 	Data	Nsp	C	800	710	510	A cannot go to zero. (O)Has the abilities "sky" and "gale". (O)When the opponent Digimon does not have the ability "gale", double your attack power. 	III40 IV30 P30 U20
Rosemon Burst Mode 	20A	Re-95 	When your Digimon is Rosemon and the opponent has an attack power of 500 and above, make this card appear from your hand (only during battle). 	Ultimate	Blue		Fairy 	Data	WG	B	680	530	420	(S) Add 400 to the attack power of your Nature Spirits or Wind Guardians Digimon. (O)When this Digimon loses a battle and is sent to the Dark Area, you may place a Sine Greymon Burst Mode card from your hand into your Digimon Box. 	III40 IV30 P20 U20
Blitz Greymon 	20A	Re-96 	At the start of the battle, send 1 Cyborg type Digimon from your hand to the Dark Area and make this card appear from your hand. 	Ultimate	Blue		Cyborg 	Virus	ME	B	630	600	460	Cannot lose its special abilities. (O)Has the ability "marksmanship". (O)You can make your attack A or B regardless of the opponent's battle type. 	III40 IV30 P20 U10
