Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Dukemon Crimson Mode	Bo14	Bo-654	Bo-654	When your Digimon is Dukemon and the opponent is an Ultimate level, make this card appear from your hand (during battle only)./(O)After appearance, send one Grani card from your hand to the Dark Area	Ultimate	Red		Holy Knight	Virus	VB/ME	B	880	740	520	When the opponent has the same attribute as you, and their attack power is being raised or multiplied, you gain the same modifications to your attack power as well (you retain these modifications even when the opponent loses them). 	III40 IV30 P30 U30
Agnimon	Bo14	Bo-655	Bo-655	Spirit Evolution/Perfect Digimon + Spirit of Fire H/(O)The spirit remains in the support box until this card is sent to the Dark Area. 	Hybrid	Blue		Demon Man	Variable (same as the opponent) 		B	520	460	360	Check one card from your Net Ocean and send it to the Dark Area. If it was a Digimon card, add 400 to your attack power. If it was a Program card, reduce your attack power by 300 (3 cards max). 	III40 IV30 P20 U20
Wolfmon	Bo14	Bo-656	Bo-656	Spirit Evolution/Perfect Digimon + Spirit of Light H/(O)The spirit remains in the support box until this card is sent to the Dark Area. 	Hybrid	Blue		Warrior	Variable (same as the opponent) 		B	510	480	350	Check one card from your Net Ocean and send it to the Dark Area. If it was a Digimon card, add 400 to your attack power. If it was a Field card, reduce your attack power by 500 (3 cards max).  	III40 IV30 P20 U20
V-mon	Bo14	Bo-657	Bo-657	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Small Dragon	Vaccine	UK	C	310	180	210	(S)Send this card from your hand to your support box, and add 210 to the attack power of one of your Digimon belonging to Nature Spirits. After that, you may stack a Holydramon card on top of this card.  	III10 IV10 P10 U10
Agumon	Bo14	Bo-658	Bo-658	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Reptile	Vaccine	UK	A	290	210	200	(O)Has the ability "hungry". (O)For the turn during which this card was swapped into the Digimon box for another Level III, double your attack power. 	III10 IV10 P10 U10
Strikedramon	Bo14	Bo-659	Bo-659	Monodramon + OOO/V-mon (ME) + OO 	IV	Blue		Dragon Man	Vaccine	NSp	A	480	300	270	When the opponent's Level III or Level IV Digimon's attack power has been doubled, triple your attack power.	III20 IV10 P10 U10
Imperialdramon Paladin Mode	Bo14	Bo-660	Bo-660	When your Digimon is an Imperialdramon: Fighter Mode and the opponent is an Ultimate level, make this card appear from your hand (during battle only)./(O)After appearance, send one 'The Dimension Crossing Hero!!' card from your hand to the Dark Area./(O)After 3 turns have passed, send this card to the Dark Area. 	Ultimate	Blue		Ancient Dragon Man	Vaccine	VB/ME	B	800	710	510	A will not go to zero due to the effects of of attack C. If the opponent does not possess a Virus Busters field icon, immediately reduce their points by 10 every time they invalidate one of your Option cards. 	III40 IV30 P20 U20
Dobermon	Bo14	Bo-661	Bo-661	Labramon + OOO/Yuki Agumon + O 	IV	Blue		Demon Beast	Virus	NSo	B	410	300	230	During the turn, the moment the opponent's Net Ocean reaches zero cards, immediately reduce the opponent's points by 20. (O)Has the ability "hungry". 	III20 IV20 P10 U10
WarGreymon	Bo14	Bo-662	Bo-662	When your Digimon is Agumon and your opponent is an Ultimate level, make this card appear from your hand (during battle only)./(O)After appearance, send one Dinosaur type Digimon card from your hand to the Dark Area. 	Ultimate	Blue		Dragon Man	Vaccine	ME	C	700	550	580	(O)When facing a Virus attribute Digimon, double your attack power. 	III30 IV30 P20 U10
Metal Garurumon	Bo14	Bo-663	Bo-663	When your Digimon is Gabumon and your opponent is an Ultimate level, make this card appear from your hand (during battle only)./(O)After appearance, send one Digimon card belonging to Nightmare Soldiers from your hand to the Dark Area. 	Ultimate	Blue		Cyborg	Data	ME	C	660	560	640	A will not go to zero due to the effects of of attack C. (O)During battle, for every time the opponent's hand is depleted by one card, add 300 to your attack power. 	III30 IV30 P20 U10
Paildramon	Bo14	Bo-664	Bo-664	XV-mon + D-3/(O)Send the 'D-3' card face-down from your slot to your evolution requirements box (ignore the effects of the card). 	Perfect	Blue		Dragon Man	Data	NSp	C	510	420	510	(O)After evolving to this Digimon, you may immediately draw two cards from your Net Ocean. (O)During the turn, the upper limit of your hand is raised by two cards. 	III30 IV10 P20 U20
Metal Greymon	Bo14	Bo-665	Bo-665	Greymon + Crest of Courage/(O)Send the 'Crest of Courage' card face-down from your slot to your evolution requirements box (ignore the effects of the card). 	Perfect	Blue		Cyborg	Vaccine	NSp	A	560	420	480	A will not go to zero due to the effects of of attack C. This Digimon can use the 'Nitro Burn' card. (O)During the turn, change the card name of any one of the opponent's Digimon to 'D-Reaper ADR-X'. 	III30 IV20 P10 U10
Beelzebumon Blast Mode	Bo14	Bo-666	Bo-666	When your Digimon is Beelzebumon and the opponent is an Ultimate level, make this card appear from your hand (during battle only)./(O)After appearance, send one Impmon card from your hand to the Dark Area. 	Ultimate	Blue		Demon Lord 	Virus	NSo/DA	C	880	700	550	Cannot lose its special abilities. A or C will not go to zero due to the effects of attack C or A. (O)When facing a Digimon with 'Imperial' in its name, quintuple your attack power.	III40 IV30 P30 U30
Gulfmon	Bo14	Bo-667	Bo-667	When your Mephismon loses the battle, send one 'Vaccine Program V' card from your hand to the Dark Area, make this card appear from your hand, and continue the battle. 	Ultimate	Blue		Demon Beast	Virus	NSo	B	690	600	430	For the turn during which the opponent used an Option card that contains the effects 'ignore the evolution requirements', triple your attack power.	III40 IV30 P20 U20
Megalo Growmon	Bo14	Bo-668	Bo-668	Growmon + D-Ark/(O)Send the 'D-Ark' card face-down from your slot to your evolution requirements box (ignore the effects of the card). 	Perfect	Blue		Cyborg	Virus	NSp	A	550	430	510	(O)For every card placed in the opponent's Option slots and support box, add 100 to your attack power. 	III30 IV20 P20 U20
Armagemon	Bo14	Bo-669	Bo-669	When your digimon is Keramon and the opponent is an Ultimate level, make this card appear from your hand (during battle only)./(O)After appearance, send one Chrysalimon, Infermon, or Diablomon card from your hand to the Dark Area. 	Ultimate	Blue		Unknown	Unknown	DA	A	800	720	500	A will not go to zero due to the effects of attack C. When facing a Digimon that has only one Digimon name in its evolution requirements field, quadruple your attack power. 	III40 IV30 P30 U30
Andiramon	Bo14	Bo-670	Bo-670	Turuiemon + Crest of Love/(O)Send the 'Crest of Love' card face-down from your slot to your evolution requirements box (ignore the effects of the card). 	Perfect	Blue	Deva	Holy Beast	Data	WG	A	520	400	430	The evolution requirements cannot be ignored. (O)When facing an Ultimate level Digimon that evolves with Appearance Requirements, or a Level IV Digimon that has Armor Evolution in its Fusion Requirements, triple your attack power. 	III30 IV20 P10 U10
Belial Vamdemon	Bo14	Bo-671	Bo-671	When your Vamdemon loses the battle, send one Tailmon card from your hand to the Dark Area, make this card appear from your hand, and continue the battle. 	Ultimate	Blue		Demon Lord 	Virus	Nso	C	700	590	500	A, B, and C will not go to zero due to the effects of attack C, B, or A. (O)During battle, change the level of the Archnemon or Mummymon card on your sheet to Ultimate level (1 card max). 	III40 IV20 P30 U10
Arachnemon	Bo14	Bo-672	Bo-672	Dokugumon + Crest of Knowledge/(O)Send the 'Crest of Knowledge' card face-down from your slot to your evolution requirements box (ignore the effects of the card). 	Perfect	Blue		Demon Beast	Virus	Nso	A	500	400	480	The evolution requirements cannot be ignored. (O)You may add the sum of the attack power A of all Insect type Digimon of a lower level than you (including support Digimon) to your attack power. 	III30 IV20 P20 U30
Mummymon	Bo14	Bo-673	Bo-673	When there is an Archnemon on your sheet, you can make this card appear directly from your hand (during battle only)./(O)At the end of the turn during which Archnemon disappears from your sheet, send this card to the Dark Area. 	Perfect	Blue		Undead	Virus	Nso	C	580	410	530	A will not go to zero due to the effects of attack C. When your Archnemon loses a battle, the opponent that defeated it is sent to the Dark Area at the end of the turn. (O)When facing a Vaccine attribute Digimon, add 200 to your attack power. 	III30 IV40 P20 U30
Apocalymon	Bo14	Bo-674	Bo-674	During battle, when you have either a Mephismon, Black Rapidmon, Jyureimon, or Marin Devimon in your Digimon box, discard one Piemon, Mugendramon, Pinochimon, or Metal Seadramon card from your hand, and make this card appear from your hand. 	Ultimate	Blue		Unknown	Unknown	DA	C	770	600	690	Select one currently activated Field Option card in your opponent's slots. After that, the opponent becomes unable to utilize the effects of a card with the same name as it during the game (1 card max during a game). 	III40 IV20 P20 U30
Chimairamon	Bo14	Bo-675	Bo-675	Deltamon + The Wicked God's Advent!!/(O)Send the 'The Wicked God's Advent!!' card face-down from your slot to your evolution requirements box (ignore the effects of the card). 	Perfect	Blue		Composite	Data	Nso	A	580	500	410	When the Level III Digimon placed below this card does not have a Field Icon, add 200 to your attack power. 	III30 IV20 P20 U10
