Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Leviamon 	Bo23	Bo-1088 	Dagomon + Winning Percentage: 80%! Hangyomon + Winning Percentage: 80%! (O)This card is sent to the Dark Area at the end of the turn during which evolution took place.	Ultimate	Gold	Seven Great Demon Lords	Demon Lord 	Virus	DA DS	B	1080	960	900	The evolution requirements cannot be ignored. Cannot receive the effects of Particle Worm No. 2. (O)The opponent loses its special abilities. (O)All Option cards and support abilities cannot be used, including those already in effect. 	III60 IV60 P60 U60
Delumon 	Bo23	Bo-1089 	V-dramon + Mojyamon Airdramon + Mojyamon Tyranomon + Numemon	Perfect	Blue		Bird 	Data	WG	A	490	470	420	(S)When your points are 60 and below, add 410 to the attack power of your Wind Guardians or Data attribute Digimon. (O)Has the ability "sky". 	III20 IV20 P10 U10
Numemon 	Bo23	Bo-1090 	Wormmon + X Tyumon + O Palmon + X	IV	Blue		Mollusk 	Virus	UK	A	320	310	300	(S)Add 430 to the attack power of your Virus attribute Digimon. (O)Has the ability "underground". 	III20 IV10 P10 U10
Barbamon 	Bo23	Bo-1091 	Doumon + Winning Percentage: 60%! Fantomon + Winning Percentage: 60%! Mummymon + Winning Percentage: 60%!	Ultimate	Blue	Seven Great Demon Lords	Demon Lord 	Virus	DA	B	700	580	480	Cannot receive the effects of Particle Worm No. 2. (O)During battle, for every 'No Items Allowed!', 'Emergency Program Halt!', or 'Elaborate Tactics!' card that the opponent uses, immediately reduce the opponent's points by 20. 	III40 IV30 P20 U10
Lord Knightmon 	Bo23	Bo-1092 	Knightmon + Winning Percentage: 60%! Mistymon + Winning Percentage: 60%! Grappu Leomon + Winning Percentage: 60%!	Ultimate	Blue	Royal Knights	Holy Knight 	Virus	VB	C	710	620	420	(O)Any special abilities or Option cards used by the opponent that specifically target Digimon belonging to Royal Knights do not apply to this Digimon. 	III40 IV30 P20 U10
Grappu Leomon 	Bo23	Bo-1093 	Leomon (Blue Frame) + Winning Percentage: 40%! Leomon (Red Frame) + X-Eraser Mojyamon + Winning Percentage: 40%! 	Perfect	Blue		Beast Man 	Vaccine	Nsp	B	620	510	470	(S)When your points are 60 and below, add 410 to the attack power of your Nature Spirits or Vaccine attribute Digimon. (O)Has the ability "grappling". 	III30 IV20 P20 U10
Mojyamon 	Bo23	Bo-1094 	Palmon + O Patamon + OX Labramon + OO	IV	Blue		Rare Animal 	Vaccine	Nsp	B	420	380	180	(S)When your points are 60 and below, add 380 to the attack power of your blue frame Digimon. (O)Has the ability "grappling". 	III20 IV10 P10 U10
Lucemon 	Bo23	Bo-1095 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Angel 	Vaccine	VB	B	560	480	250	Cannot use any support Digimon. (O)This Digimon cannot use any Option cards aside from 'Gospel of the Fallen Angel'. 	III40 IV30 P30 U20
Lucemon Falldown Mode 	Bo23	Bo-1096 	Lucemon + The Gospel of the Fallen Angel 	Perfect	Blue	Seven Great Demon Lords	Demon Lord 	Virus	DA	B	900	730	650	The evolution requirements cannot be ignored. Cannot receive the effects of Particle Worm No. 2. (O)The opponent loses its special abilities. (O)Double the lost points of the opponent's blue frame Level IV and Perfect level Digimon. 	III30 IV30 P20 U20
Lucemon Satan Mode 	Bo23	Bo-1097 	Lucemon Falldown Mode + The Gospel of the Fallen Angel	Ultimate	Blue		Demon God 	Virus	DA	C	1000	820	650	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)During battle, when the opponent's attack power is 320 or below, you may send the top three cards of the opponent's Net Ocean to the Dark Area. 	III40 IV40 P40 U40
