Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Guilmon (1)	EXP	Bo-1t 	Bo-1t 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Reptile 	Virus	Nsp	B	390	240	160	(O)Has the ability "grappling".	III10 IV10 P10 U10
Growmon 	EXP	Bo-2t 	Bo-2t 	Guilmon + O	IV	Blue		Demon Dragon 	Virus	Nsp	C	470	380	220	(O)Has the ability "grappling". 	III20 IV10 P10 U10
Renamon 	EXP	Bo-3t 	Bo-3t 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Beast Man 	Data	Nso	C	350	300	140	(O)Has the ability "grappling". 	III10 IV10 P10 U10
Kyubimon 	EXP	Bo-4t 	Bo-4t 	Renamon + O 	IV	Blue		Bewitching Beast 	Data	Nso	B	450	420	210	(O)Has the ability "grappling". 	III20 IV10 P10 U10
Terriermon 	EXP	Bo-5t 	Bo-5t 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Beast 	Vaccine	Nsp	A	360	240	220	(O)Has the ability "grappling". 	III10 IV10 P10 U10
Galgomon 	EXP	Bo-6t 	Bo-6t 	Terriermon + O	IV	Blue		Beast Man 	Vaccine	Nsp	A	450	410	270	(O)Has the ability "grappling". 	III20 IV10 P10 U10
Impmon (1)	EXP	Bo-7t 	Bo-7t 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Small Devil 	Virus	Nso	C	330	220	150	(O)When the battle ends in a draw, further reduce the opponent"s points by 10.	III10 IV10 P10 U10
Devidramon 	EXP	Bo-8t 	Bo-8t 	Renamon + X Pico Devimon + X	IV	Blue		Evil Dragon 	Virus	Nso	C	430	390	220	(O)Has the ability "sky". 	III20 IV10 P10 U10
Ice Devimon 	EXP	Bo-9t 	Bo-9t 	Impmon + X Wormmon + X	IV	Blue		Fallen Angel 	Virus	Nso	C	450	440	200	(O)Has the ability "sky".	III20 IV10 P10 U10
Musyamon 	EXP	Bo-10t 	Bo-10t 	Renamon + X Guilmon + X	IV	Blue		Demon Man 	Virus	Nso	C	460	430	240	(O)Has the ability "grappling". 	III20 IV10 P10 U10
Maildramon 	EXP	Bo-11t 	Bo-11t 	Terriermon + OO Agumon + OO	IV	Blue		Cyborg 	Vaccine	ME	A	490	420	300	(O)No special abilities.	III20 IV10 P10 U10
Allomon 	EXP	Bo-12t 	Bo-12t 	Guilmon + O V-mon + X	IV	Blue		Dinosaur 	Data	Nsp	B	470	350	240	(O)Has the ability "grappling". 	III20 IV10 P10 U10
Evilmon 	EXP	Bo-13t 	Bo-13t 	Impmon + O Hawkmon + X	IV	Blue		Small Devil 	Virus	Nso	C	440	400	220	(O)Has the ability "sky". 	III20 IV10 P10 U10
Gorimon 	EXP	Bo-14t 	Bo-14t 	Terriermon + X Armadimon + X	IV	Blue		Beast Man 	Data	Nsp	B	460	380	220	(O)Has the ability "grappling". 	III10 IV10 P10 U10
Megalo Growmon 	EXP	Bo-15t 	Bo-15t 	Growmon + Winning Percentage: 40%! 	Perfect	Blue		Cyborg 	Virus	ME	C	580	470	330	None	III30 IV20 P10 U10
Taomon 	EXP	Bo-16t 	Bo-16t 	Kyubimon + Winning Percentage: 40%!	Perfect	Blue		Demon Man 	Data	Nso	B	530	490	320	None	III30 IV20 P10 U10
Rapidmon 	EXP	Bo-17t 	Bo-17t 	Galgomon + Winning Percentage: 40%!	Perfect	Blue		Cyborg 	Vaccine	ME	A	560	450	380	None	III30 IV20 P10 U10
Heavy Metal 	EXP	Bo-18t 	Bo-18t 	Battle Phase (O)Send one Digimon card from your hand to the Dark Area.		Blue		Item 							(O)Add 120 to the attack power of your Digimon with the ability "grappling". (O)At the end of the turn during which this card was used, send it to the Dark Area.	
Offense Plug-In A 	EXP	Bo-19t 	Bo-19t 	Battle Phase 		Blue		Item 							(O)During battle, your attack becomes A regardless of the opponent"s battle type. (O)At the end of the turn during which this card was used, send it to the Dark Area.	
