Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Hackmon 	NEW	Re-1	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Gold		Small Dragon 	Data	ME	B	410	320	180	(O)Has the ability "grappling". (O)You can make your attack A regardless of the opponent's battle type. 	III30 IV10 P10 U10
Gankoomon 	NEW	Re-2 	At the end of the turn, make this card appear only if your points are 40 and below, and the Hackmon in your Digimon box has just lost the battle. (O)At the end of the turn during which this Digimon took part in battle, send it to the Dark Area.	Ultimate	Blue	Royal Knights	Holy Knight 	Data	VB	B	1000	810	580	Cannot lose its special abilities. (S)When your points are 30 and below, add 1000 to the attack power of your Level III Digimon. (O)At the start of the battle, send all of the cards in your opponent's slots and support box to the Dark Area.	III40 IV40 P40 U40
Sistermon Blanc 	NEW	Re-3 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Puppet 	Vaccine	Nsp	A	310	210	230	(S)Add 310 to the attack power of your Metal Empire or Nature Spirits Digimon. (O)During battle, show the opponent one Sistermon Noir card from your hand, and add 300 to your attack power. 	III10 IV10 P10 U10
Sistermon Noir 	NEW	Re-4 	During battle, show the opponent a Gankoomon card from your hand, and make this card appear.	IV	Blue		Puppet 	Virus	Nsp	C	470	340	280	(S)Add 470 to the attack power of your Metal Empire or Nature Spirits Digimon. (O)When Sistermon Blanc is in your support box, discard one card from your hand and double your attack power.	III20 IV10 P10 U10
Craniummon 	NEW	Re-5 	Knightmon + Winning Percentage: 80%! 	Ultimate	Blue	Royal Knights	Holy Knight 	Vaccine	VB	A	720	650	570	Cannot lose its special abilities. (O)Has the abilities "gale" and "proud". (O)You may discard one card from your hand and become unable to receive the effects of special abilities or Option cards used by the opponent. 	III40 IV30 P20 U20
Sleipmon 	NEW	Re-6 	Megalo Growmon + Winning Percentage: 80%! 	Ultimate	Blue	Royal Knights	Holy Knight 	Vaccine	VB	A	710	690	480	Cannot lose its special abilities. (O)Has the abilities "gale" and "grappling". (O)During battle, reduce the opponent Digimon's attack power by 300. 	III40 IV30 P20 U20
Duftmon 	NEW	Re-7 	At the end of the turn, if your Digimon belonging to the Royal Knights has just lost a battle, you can make this card appear and restart the battle phase. (O)At the end of the turn during which this Digimon appeared, send it to the Dark Area. 	Ultimate	Gold	Royal Knights	Holy Knight 	Data	VB	B	730	560	500	(S)Add 300 to the attack power of your Royal Knights Digimon. At the start of the battle, you may discard as many cards in your slots as you like. After that, you may set up to three cards in your slots. (O)Has the ability "strategy". 	III50 IV30 P30 U30
Examon 	NEW	Re-8 	Cyberdramon + Winning Percentage: 80%! 	Ultimate	Gold	Royal Knights	Holy Knight 	Data	VB	B	820	780	660	A will not go to zero. You can make your attack C regardless of the opponent's battle type. (O)When facing a Digimon with the word 'dragon (Ankylosaur/Ceratopsian/Dinosaur/Plesiosaur/Pterosaur/Stegosaur included)' in its type, add 400 to your attack power. 	III40 IV40 P40 U30
Shoutmon 	NEW	Re-9 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Gold		Small Dragon 	Unknown	Nsp	C	400	210	200	A will not go to zero. (O)Has the ability "ardor".	III10 IV10 P10 U10
Greymon 	NEW	Re-10 	During battle, when the Shoutmon in your Digimon box has a lower attack power than the opponent Digimon, you can make this card appear.	IV	Blue		Dinosaur 	Unknown	UK	C	460	350	270	Cannot lose its special abilities. (O)Has the abilities "grappling", "underground", "gale", and "flame". (O)When facing a red frame Digimon, add 300 to your attack power. 	III20 IV10 P10 U10
Shoutmon X4 	NEW	Re-11 	At the end of your turn, you can make this Digimon appear if the Physical Mode or Armor Evolved Digimon in your Digimon Box lost the battle.	IV	Gold	Victory Mode	Composite 	Unknown	Nsp	A	510	420	360	A cannot go to zero. When this Digimon appeared from a Digimon with 'Shout' in its name, add 400 to your attack power until the end of the turn. (O)Has the abilities "gale" and "proud". 	III30 IV30 P20 U10
Beelzebumon 	NEW	Re-12 	At the start of the battle, send one Digimon belonging to the Seven Great Demon Lords from your hand to the Dark Area, and make this card appear from your hand. 	Ultimate	Blue		Demon Lord 	Unknown	Nso	C	620	500	380	Cannot lose its special abilities. (O)Has the ability "sky". (O)When facing Lilithmon, add 600 to your attack power. 	III40 IV30 P20 U10
Cutemon 	NEW	Re-13 	This Digimon cannot be placed in the Digimon box.	III	Blue		Fairy 	Unknown	VB	B	0	0	0	(S)Send this card from your hand to your support box, and recover 20 of your points. After that, stack this card onto your point gauge.	III10 IV10 P10 U10
