Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Imperialdramon	PROM1	Bo-1j	Paildramon + Winning Percentage: 80%! (O)Can only evolve from Data attribute Digimon.	Ultimate	Blue		Ancient Dragon	Vaccine	NSp	B	740	680	550	The evolution requirements cannot be ignored. (O)The opponent loses its special abilities. (O)When you win the battle, the opponent loses an additional 20 points.	III40 IV40 P30 U20
Omegamon	PROM1	Bo-2j	War Greymon + Fuse Into the Ultimate Digimon! Metal Garurumon + Fuse Into the Ultimate Digimon! (O)Cannot fuse from Virus attribute Digimon.	Ultimate	Blue		Holy Knight	Vaccine	ME	B	730	720	560	The fusion requirements cannot be ignored. (O)Cannot lose its special abilities. (O)At the end of the turn during which fusion took place, send this card to the Dark Area. (O)When you win the battle, the opponent loses an additional 20 points.	III40 IV40 P30 U20
Apocalymon	PROM1	Bo-3j	Piemon + Fuse Into the Ultimate Digimon! Metal Seadramon + Fuse Into the Ultimate Digimon! Pinochimon + Fuse Into the Ultimate Digimon! Mugendramon + Fuse Into the Ultimate Digimon!	Ultimate	Blue		Unknown	Unknown	DA	B	700	650	620	The fusion requirements cannot be ignored. (O)Cannot lose its special abilities. (O)At the end of the turn during which fusion took place, send this card to the Dark Area. (O)When you win the battle, the opponent loses an additional 20 points.	III40 IV40 P30 U20
War Greymon	PROM1	Bo-4j	Metal Greymon + Winning Percentage: 80%! (O)Can only evolve from Vaccine attribute Digimon.	Ultimate	Blue		Dragon Man	Vaccine	ME	B	660	560	510	The evolution requirements cannot be ignored. (O)The opponent loses its special abilities. (O)When you win the battle, the opponent loses an additional 10 points.	III40 IV30 P20 U20
Metal Garurumon	PROM1	Bo-5j	Were Garurumon + Winning Percentage: 80%! (O)Can only evolve from Vaccine attribute Digimon.	Ultimate	Blue		Cyborg	Data	ME	B	650	590	460	The evolution requirements cannot be ignored. (O)The opponent loses its special abilities. (O)When you win the battle, the opponent loses an additional 10 points.	III40 IV30 P20 U20
War Greymon (1)	PROM1	Bo-6j	Metal Greymon + Winning Percentage: 80%! (O)Can only evolve from Virus attribute Digimon.	Ultimate	Blue		Dragon Man	Virus	ME	B	680	560	450	The evolution requirements cannot be ignored. (O)The opponent loses its special abilities. (O)When you win the battle, the opponent loses an additional 10 points.	III40 IV30 P20 U20
Fuse Into the Ultimate Digimon!	PROM1	Bo-7j	Evolution Phase (O)Send this card face-down from its slot to the evolution requirements box. (O)You may only place one of this card in your slots.		Blue		Program							(O)Fuse your Digimon into a same-level Digimon that has 'Fuse Into the Ultimate Digimon!' stated in its Fusion Requirements. (O)The Digimon that was fused through the use of this card will be sent to the Dark Area at the end of the turn, but its A will not go to zero as a result of the opponent's attack C, and you can invalidate the opponent's Program Option cards before they take effect.	
Win Ratio 80%	PROM1	Bo-8j	Evolution Phase (O)Send this card face-down from its slot to the evolution requirements box. (O)You may only place one of this card in your slots.		Blue		Program							(O)Evolve your Digimon into an Ultimate level Digimon with Winning Percentage: 80! or Jogress Evolution in its evolution requirements. (O)In the case of Jogress Evolution, treat this card as one of the component Digimon. (O)The Digimon that evolved through the use of this card will be sent to the Dark Area at the end of the turn, but its A will not go to zero as a result of the opponent's attack C, and you can invalidate the opponent's Item Option cards before they take effect.	
Dukemon	PROM1	Bo-9j	Metal Tyranomon (Unknown) + Winning Percentage: 40%! Were Garurumon (Vaccine) + Winning Percentage: 40%! Holy Angemon (Wind Guardians) + Winning Percentage: 40%!	Ultimate	Blue		Holy Knight	Virus	VB	C	680	630	400	The evolution requirements cannot be ignored. A will not go to zero due to the effects of attack C. When facing Beelzebumon, quadruple your attack power (this is not a special ability).	III40 IV30 P20 U10
Beelzebumon	PROM1	Bo-10j	When your Digimon is Impmon and the opponent is an Ultimate level, make this card appear from your hand (during battle only). (O)After appearance, send one Level IV Digimon card belonging to Nightmare Soldiers from your hand to the Dark Area.	Ultimate	Blue		Demon Lord	Virus	NSo	C	730	580	420	A will not go to zero due to the effects of attack C. When facing Dukemon, quadruple your attack power (this is not a special ability).	III40 IV30 P20 U20
