Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Xuanwumon 	St14	St-940 	Kumbhiramon + Perfect Digimon Triceramon + Perfect Digimon	Ultimate	Blue 	Four Holy Beasts	Holy Beast 	Vaccine	Nsp	A	730	670	520	Cannot lose its special abilities. (O)Regain 20 points when you evolve into this Digimon.	III40 IV30 P20 U10
Gazimon 	St14	St-941 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Mammal 	Virus	Nso	B	360	240	170	(O)Has the abilities "underground" and "freezing".	III10 IV10 P10 U10
Gargomon 	St14	St-942 	Gazimon + OX Kokuwamon + XX Strabimon + XX (O)Cannot receive the effects of 'Dark Tower'.	IV	Blue 		Demon Beast 	Virus	Nso	A	430	400	200	(O)When your points are 80 and below, add 240 to the attack power of your blue frame Digimon. (O)For every blue frame Digimon on the opponent's sheet, add 150 to your attack power.	III20 IV10 P10 U10
Cyclomon 	St14	St-943 	Agumon + OOX Gazimon + OO DORUmon + XX (O)Cannot receive the effects of 'Dark Tower'.	IV	Blue 		Dragon Man 	Virus	Nsp	A	500	310	260	(O)For every Digimon on the opponent's sheet with 'Leomon' in its name, add 400 to your attack power.	III20 IV10 P10 U10
Tortamon 	St14	St-944 	Betamon + XX Agumon + OX Gazimon + XX (O)Cannot receive the effects of 'Dark Tower'.	IV	Blue 		Reptile 	Vaccine	Nsp	C	460	380	230	(S)When your points are 80 and below, add 300 to the attack power of your Xuanwumon. (O)Your attack becomes B regardless of the opponent's battle type.	III20 IV10 P10 U10
Bitmon 	St14	St-945 	Kokuwamon + OX Gazimon + XX Betamon + OX 	IV	Blue 		Mammal 	Vaccine	Nsp	B	420	380	240	(S)When your points are 80 and below, add 380 to the attack power of your Nature Spirits Digimon. (O)Has the abilities "underground" and "freezing".	III20 IV10 P10 U10
Salamandamon 	St14	St-946 	Agumon + XX Gazimon + OX Betamon + XX (O)Cannot receive the effects of 'Dark Tower'. 	IV	Blue 		Amphibian 	Virus	Nso	C	470	370	220	(S)When your points are 80 and below, add 300 to the attack power of your Zhuqiaomon. (O)Your attack becomes B regardless of the opponent's battle type. 	III20 IV10 P10 U10
Wendimon 	St14	St-947 	Strabimon + OOX Gazimon + OO DORUmon + OX (O)Cannot receive the effects of 'Dark Tower'.	IV	Blue 		Beast Man 	Virus	Nsp	B	480	400	260	(O)For every blue frame Digimon on the opponent's sheet, add 150 to your attack power.	III20 IV10 P10 U10
Lynxmon 	St14	St-948 	DORUmon + OO Gazimon + OX Plotmon + XX	IV	Blue 		Beast 	Vaccine	Nsp	B	430	380	290	(S)When your points are 80 and below, add 380 to the attack power of your Nature Spirits Digimon. (O)Has the abilities "gale" and "flame".	III20 IV10 P10 U10
Meramon 	St14	St-949 	Agumon + XX DORUmon + OX Strabimon + XX (O)Cannot receive the effects of 'Dark Tower'.	IV	Blue 		Flame 	Vaccine	Nsp	A	470	370	220	(O)For every Digimon on the opponent's sheet with the ability "flame", add 200 to your attack power.	III20 IV10 P10 U10
Deltamon 	St14	St-950 	Gazimon + XX DORUmon + X Kokuwamon + OX (O)Cannot receive the effects of 'Dark Tower'. 	IV	Blue 		Composite 	Virus	UK	A	470	400	240	(O)For every blue frame Digimon on the opponent's sheet, add 150 to your attack power.	III20 IV10 P10 U10
Kumbhiramon 	St14	St-951 	Bitmon + Winning Percentage: 40%! Lynxmon + Winning Percentage: 40%! Leomon + Winning Percentage: 40%! 	Perfect	Blue 	Deva	Holy Beast 	Vaccine	Nsp	B	540	420	340	(S)When your points are 80 and below, add 300 to the attack power of your Digimon belonging to the Four Holy Beasts. (O)For every Xuanwumon card in your hand that you show your opponent, add 200 to your attack power.	III30 IV20 P10 U10
Skull Greymon 	St14	St-952 	Greymon + Winning Percentage: 40%! Deltamon + Winning Percentage: 40%! Gargomon + Winning Percentage: 40%!	Perfect	Blue 		Undead 	Virus	Nso	A	590	480	330	(O)When facing a red frame Level IV Digimon, add 200 to your attack power.	III30 IV20 P10 U10
