Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Ancient Volcamon 	St15	St-975 	St-975 	Volcamon (Blue Frame) + Winning Percentage: 80%! Pile Volcamon (Blue Frame) + The Conflict I Staked My Life On	Ultimate	Blue 	Warrior Ten	Ancient Ore 	Virus	ME	C	760	650	550	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)During battle, for every Digimon card that you discard from your hand with 'Volca' in its name, add 200 to your attack power.	III40 IV30 P30 U30
Volcamon 	St15	St-976 	St-976 	Black Galgomon + Winning Percentage: 40%! Igamon + Winning Percentage: 40%! Gladimon + Winning Percentage: 40%!	Perfect	Blue 		Cyborg 	Data	ME	A	550	440	400	(O)When this Digimon gains the ability "underground", add 100 to your attack power. 	III30 IV20 P10 U10
Pile Volcamon 	St15	St-977 	St-977 	Volcamon + Winning Percentage: 60%! Black Rapidmon + Winning Percentage: 60%! Paildramon + Winning Percentage: 60%! 	Ultimate	Blue 		Cyborg 	Data	ME	A	720	610	590	(O)During battle, you may discard two Digimon cards with 'Volca' in their name from your hand, and double your attack power.	III40 IV30 P20 U20
Black Rapidmon 	St15	St-978 	St-978 	Black Galgomon + Winning Percentage: 60%! Dinohumon + Winning Percentage: 60%! Gorimon + Winning Percentage: 60%!	Perfect	Blue 		Cyborg 	Vaccine	ME	B	540	410	400	(O)When this Digimon gains the ability "gale", add 100 to your attack power.	III30 IV20 P10 U10
Black Galgomon 	St15	St-979 	St-979 	Terriermon + OO Shamamon + O Labramon + O	IV	Blue 		Beast Man 	Vaccine	ME	A	460	420	250	(S)When your points are 80 and below, add 420 to the attack power of your Metal Empire Digimon.	III20 IV10 P10 U10
Terriermon 	St15	St-980 	St-980 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Beast 	Vaccine	Nsp	C	350	280	190	(O)Has the ability "underground". 	III10 IV10 P10 U10
Dinohumon 	St15	St-981 	St-981 	Kotemon + O Terriermon + OO Bokomon + O	IV	Blue 		Dragon Man 	Data	Nsp	C	480	400	280	(S)When your points are 80 and below, add 400 to the attack power of your Nature Spirits Digimon.	III20 IV10 P10 U10
Kotemon 	St15	St-982 	St-982 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Reptile 	Data	Nsp	C	380	230	170	(O)Has the ability "grappling".	III10 IV10 P10 U10
Gladimon 	St15	St-983 	St-983 	Kotemon + O Terriermon + O Bearmon + O	IV	Blue 		Warrior 	Vaccine	VB	C	460	390	250	(S)Add 390 to the attack power of your Warrior type Digimon.	III20 IV10 P10 U10
Knightmon 	St15	St-984 	St-984 	Gladimon + Winning Percentage: 40%! Shurimon + Winning Percentage: 40%! Dinohumon + Winning Percentage: 40%! 	Perfect	Blue 		Warrior 	Data	ME	C	580	460	380	(O)Until the end of the Battle Phase, all red frame Digimon on the opponent's sheet lose their special abilities.	III30 IV20 P10 U10
Karatenmon 	St15	St-985 	St-985 	Shurimon + Winning Percentage: 40%! Igamon + Winning Percentage: 40%! Youkomon + Winning Percentage: 40%!	Perfect	Blue 		Demon Man 	Virus	Nso	A	550	470	360	(O)When this Digimon gains the ability "sky", add 100 to your attack power.	III30 IV20 P10 U10
Shurimon 	St15	St-986 	St-986 	Kotemon + O Hawkmon + O Goburimon + O	IV	Blue 		Mutant 	Data	WG	B	430	400	140	(S)When your points are 60 and below, add 400 to the attack power of your Data attribute Digimon. (O)Has the ability "gale".	III20 IV10 P10 U10
Igamon 	St15	St-987 	St-987 	Shamamon + O Kotemon + O Agumon + OO	IV	Blue 		Mutant 	Vaccine	UK	A	480	330	200	(S)Add 330 to the attack power of your Vaccine attribute Digimon.	III20 IV10 P10 U10
Shamamon 	St15	St-988 	St-988 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Oni 	Virus	Nso	A	360	280	120	Cannot use the card 'Let's Stop Fighting'. (O)When the battle ends in a draw, the opponent loses a further 10 points.	III10 IV10 P10 U10
Youkomon 	St15	St-989 	St-989 	Renamon + XX Shamamon + X Gazimon + X	IV	Blue 		Bewitching Beast 	Data	Nso	B	460	440	210	(S)When your points are 60 and below, add 440 to the attack power of your Nightmare Soldiers Digimon. (O)Has the ability "sky".	III20 IV10 P10 U10
Doumon 	St15	St-990 	St-990 	Youkomon + Winning Percentage: 40%! Shurimon + Winning Percentage: 40%! Hanumon + Winning Percentage: 40%! 	Perfect	Blue 		Demon Man 	Data	Nso	B	550	500	300	(O)Until the end of the Battle Phase, all red frame Digimon on the opponent's sheet lose their special abilities.	III30 IV20 P10 U10
Kuzuhamon 	St15	St-991 	St-991 	Doumon + Winning Percentage: 60%! Karatenmon + Winning Percentage: 60%! Mermaimon + Winning Percentage: 60%!	Ultimate	Blue 		God Man 	Data	Nso	C	620	580	380	Cannot lose its special abilities. (O)Has the ability "sky". (O)You can move two support Digimon into your support box. 	III40 IV30 P20 U10
Paildramon 	St15	St-992 	St-992 	XV-mon + Winning Percentage: 40%! Dinohumon + Winning Percentage: 40%! Black Galgomon + Winning Percentage: 40%! 	Perfect	Blue 		Dragon Man 	Data	Nsp	A	550	420	350	Cannot use the card 'Let's Stop Fighting'. (O)When the battle ends in a draw, your points do not get reduced, and the opponent's Digimon is sent to the Dark Area.	III30 IV20 P10 U10
Dukemon 	St15	Sx-40 	Sx-40 	Megalo Growmon + Winning Percentage: 80%! Medieval Dukemon + Forest Leaf Knightmon + Winning Percentage: 60%!	Ultimate	Red 	Royal Knights	Holy Knight 	Virus	Nso	A	860	740	570	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)Cannot receive the effects of the opponent's special abilities or Option cards.	III40 IV40 P40 U30
Megalo Growmon 	St15	Sx-41 	Sx-41 	Growmon + Winning Percentage: 60%! Allomon + Winning Percentage: 60%! Black Galgomon + Winning Percentage: 40%!	Perfect	Red 		Cyborg 	Virus	ME	C	700	510	470	The evolution requirements cannot be ignored. (O)Regain 10 points when you evolve into this Digimon.	III40 IV30 P20 U10
Growmon 	St15	Sx-42 	Sx-42 	Guilmon + Winning Percentage: 40%! Kotemon + Winning Percentage: 40%! Shakomon + Winning Percentage: 40%!	IV	Red 		Demon Dragon 	Virus	Nsp	B	500	400	290	The evolution requirements cannot be ignored. (O)Has the ability "underground". 	III30 IV20 P10 U10
Guilmon 	St15	Sx-43 	Sx-43 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Red 		Demon Dragon 	Virus	Nsp	B	380	250	240	Cannot use the card 'Strength Plug-In U'. (O)During battle, when the opponent's Level III Digimon's level is transformed into an Ultimate level, immediately reduce the opponent's points by 20.	III20 IV10 P10 U10
Megidramon 	St15	Sx-44 	Sx-44 	Megalo Growmon + Winning Percentage: 80%!	Ultimate	Red 		Evil Dragon 	Virus	Nso	B	880	740	420	The evolution requirements cannot be ignored. (O)When you evolve into this Digimon, immediately reduce both your and your opponent's points by 10.	III40 IV40 P30 U30
Monochromon 	St15	Sx-45 	Sx-45 	Guilmon + Winning Percentage: 40%! Shakomon + Winning Percentage: 40%! 	IV	Red 		Ankylosaur 	Data	Nsp	A	450	430	290	The evolution requirements cannot be ignored. (O)When this Digimon gains the ability "grappling", add 100 to your attack power.	III30 IV20 P10 U10
